케이블관리번호,법정동코드,시도명,시군구명,읍면동명,리명,케이블매설위치코드명,케이블코어수,접속코어수,사용코어수,케이블용도코드명,준공거리M,지도거리M,공간위치G,중계기회선수,중요선로
48330CA012421,4833010300,경남,양산시,중부동,#,가공,8,4,4,기타,3.77,1.59,"LINESTRING (129.032001154522 35.33526619109, 129.031987234852 35.335274877898)",8,
48330CA012357,4833012100,경남,양산시,매곡동,#,가공,48,11,10,기타,1.3,1.3,"LINESTRING (129.169642682501 35.3631234576882, 129.169646982226 35.363134599143)",9,
48330CA014007,4833025324,경남,양산시,물금읍,범어리,지중,144,60,43,#,1.35,1.14,"LINESTRING (129.013355056475 35.3247503647052, 129.013360456032 35.3247547702249, 129.013364264952 35.324752186685)",23,
48330CA014078,4833025323,경남,양산시,물금읍,가촌리,지중,48,1,1,#,74,33.82,"LINESTRING (128.990081238593 35.3154663756014, 128.990230173431 35.3155849629219, 128.99009187555833 35.315657662569706)",,
48330CA015500,4833025324,경남,양산시,물금읍,범어리,지중,48,8,6,#,1,1,"LINESTRING (129.000881032483 35.3256897646297, 129.000890013362 35.3257020134616)",10,
48330CA015501,4833025324,경남,양산시,물금읍,범어리,지중,24,11,6,#,234,234,"LINESTRING (129.000890013362 35.3257020134616, 129.00089735400633 35.32565466194188, 129.0010462215991 35.32552490006549, 129.001252959083 35.3253389879616, 129.001404032421 35.3251680280385, 129.00176039032684 35.32486598144777, 129.001970976849 35.3247059911706, 129.00205090308373 35.32465518221182, 129.00226555799625 35.324480247239215, 129.002508521964 35.324289583692966, 129.002639039924 35.324169989715)",11,
48330CA017030,4833025323,경남,양산시,물금읍,가촌리,지중,48,6,6,#,1,1,"LINESTRING (128.9969318166847 35.31857631706417, 128.9969372145589 35.31856610729545)",,
48330CA017031,4833025323,경남,양산시,물금읍,가촌리,지중,24,5,5,#,1,1,"LINESTRING (128.9965478216382 35.31823494375119, 128.99655576879243 35.31824181863623)",,
48330CA017479,4833025323,경남,양산시,물금읍,가촌리,지중,48,7,7,#,1,2,"LINESTRING (128.99763510224682 35.319151811102415, 128.99766198220854 35.31915116034846)",,
48330CA013297,4833032026,경남,양산시,원동면,선리,가공,72,1,1,기타,1.72,0.82,"LINESTRING (128.98659287050617 35.487414236215024, 128.9865839057646 35.48741378319524)",,
48330CA017645,4833025323,경남,양산시,물금읍,가촌리,지중,72,2,0,#,1,1,"LINESTRING (128.99843841823053 35.31978705945352, 128.9984517806638 35.31977534215896)",,
48330CA017884,4833025323,경남,양산시,물금읍,가촌리,지중,48,2,2,#,1,1.2,"LINESTRING (128.99574032525246 35.318968132751216, 128.99575355931736 35.31896801965524)",,
48330CA018146,4833025321,경남,양산시,물금읍,물금리,지중,48,4,4,#,1,1,"LINESTRING (128.988673993095 35.3072869894126, 128.98869202624277 35.30728626302425)",,
48330CA019205,4833031026,경남,양산시,동면,석산리,지중,12,0,0,#,1,2,"LINESTRING (129.024852921008 35.3146430963023, 129.0248276410211 35.314649070415754)",,
48330CA019204,4833031026,경남,양산시,동면,석산리,지중,12,0,0,#,1,2,"LINESTRING (129.024852921008 35.3146430963023, 129.02483657607004 35.31463064416475)",,
48330CA019272,4833025323,경남,양산시,물금읍,가촌리,지중,36,0,0,#,1,1,"LINESTRING (128.99575355931736 35.31896801965524, 128.99575989175298 35.31897935330136)",,
48330CA019451,4833025323,경남,양산시,물금읍,가촌리,FTTH,48,7,7,지중용,1,1,"LINESTRING (128.99774542693106 35.31788779058685, 128.99775294885475 35.31788558428657, 128.997752015079 35.3178760334745)",,
48330CA020076,4833033022,경남,양산시,상북면,대석리,가공,48,1,0,#,4,2.42,"LINESTRING (129.05565624198456 35.391307231553554, 129.05568173484076 35.391313383281776)",,
48330CA017643,4833025323,경남,양산시,물금읍,가촌리,지중,48,1,0,#,1,2,"LINESTRING (128.9980578615301 35.31949763103333, 128.99808082112517 35.319484386111846)",,
48330CA020513,4833025321,경남,양산시,물금읍,물금리,FTTH,12,0,0,지중용,2,2.25,"LINESTRING (128.988014011769 35.3077440047116, 128.98798996164086 35.30774880270184)",,
48330CA021804,4833025323,경남,양산시,물금읍,가촌리,지중,12,0,0,#,2,1,"LINESTRING (128.99846748417133 35.31842339124706, 128.9984792590675 35.31842345660599)",,
48330CA021894,4833025322,경남,양산시,물금읍,증산리,지중,48,0,0,#,4,4.31,"LINESTRING (129.00757560406555 35.30605264032434, 129.00762303477035 35.30605261241496)",,
48330CA023170,4833011800,경남,양산시,주진동,#,가공,144,72,2,#,1,1.25,"LINESTRING (129.1567108753552 35.38918015236832, 129.15669983229 35.3891869246788)",,
48330CA023772,4833032024,경남,양산시,원동면,영포리,가공,72,1,1,#,1,2.6,"LINESTRING (128.95107704089963 35.43391336042343, 128.95108148429836 35.43390433920231, 128.95106509157674 35.43390184622726)",,
48330CA029074,4833025321,경남,양산시,물금읍,물금리,지중,48,1,1,#,1,1,"LINESTRING (128.99240436113962 35.30847920581405, 128.992417014326 35.3084870410613)",,
48330CA029218,4833011700,경남,양산시,소주동,#,FTTH,48,0,0,가공용,14,59,"LINESTRING (129.1619459144 35.4109915409671, 129.161912866124 35.4107591959112, 129.16177381455282 35.41063432837373, 129.16168157301726 35.410520725015296)",,
48330CA028721,4833025321,경남,양산시,물금읍,물금리,FTTH,12,2,2,가공용,30,29,"LINESTRING (128.98894200924 35.3070960041109, 128.98886360062625 35.30702295722601, 128.9889313969316 35.306953105830345, 128.98899733678994 35.306897634501816)",,
48330CA029212,4833011700,경남,양산시,소주동,#,FTTH,48,0,0,가공용,12,6,"LINESTRING (129.1598312749206 35.408531932055546, 129.15987134733373 35.40858423610747)",,
